313,12122659,1933,1121,1419,1571,730.73,629.3,1217,975,690,100,70,-59.75
313,12122660,1935,903,1836,836,721.6,634.41,1217,975,690,100,70,6.93
313,12123536,1359,1748,733,1400,785.93,644.11,1217,975,690,100,70,-59.12
313,12124332,1085,284,1854,955,703.49,637.31,1217,975,690,100,70,-99.02
313,12124551,1255,276,1797,695,700.03,644.05,1217,975,690,100,70,-61.12
313,12124798,1064,1705,610,1186,745.86,642.63,1217,975,690,100,70,-58.99
313,12125104,997,306,1734,596,704.24,641.04,1217,975,690,100,70,-71.96
313,12125152,1224,1726,673,1318,751.03,643.11,1217,975,690,100,70,-58.3
313,12125157,1254,276,1846,937,699.98,630.15,1217,975,690,100,70,-83.51
313,12125389,857,367,1799,1225,706.59,633.42,1217,975,690,100,70,-143.88
313,12125392,1282,1712,693,1354,739.86,646.7,1217,975,690,100,70,-59.16
313,12125412,1820,630,1702,566,694.72,634.43,1217,975,690,100,70,10.37
313,12125817,858,367,1847,991,706.08,630.2,1217,975,690,100,70,-122.01
313,12126113,1704,443,1294,331,721.24,648.59,1217,975,690,100,70,35.65
313,12126509,668,527,1614,470,708.59,642.37,1217,975,690,100,70,-88.96
313,12133252,1909,1209,1851,952,730.49,634.42,1217,975,690,100,70,20.76
313,12133412,1366,284,1801,1227,706.88,636.05,1217,975,690,100,70,-101.17
313,12133455,834,381,1766,1301,706.77,556.49,1217,975,690,100,70,-153.52
313,12133458,1496,1662,1460,1572,741.49,644.56,1217,975,690,100,70,0.05
314,12123903,513,1130,580,807,720.86,658.78,1217,975,685,90,50,-27.19
314,12125258,1317,237,583,802,744.74,657.18,1217,975,685,90,50,82.45
314,12125259,537,1194,636,663,714.4,659.47,1217,975,685,90,50,-46.09
314,12125429,639,1409,654,1303,722.8,651.58,1217,975,685,90,50,-6.68
314,12125495,540,756,605,731,711.54,658.85,1217,975,685,90,50,-3.81
314,12125798,494,1090,578,819,732.09,657.77,1217,975,685,90,50,-22.76
314,12126195,648,1433,581,822,730.43,654.14,1217,975,685,90,50,-52.36
